slug,title,url,review_tier,description_rank_SHARED_TIES,WebMCP Leverage,Execution,Potential Impact,Creativity & Ambition,description_score_out_of_100_NOT_OFFICIAL,strengths,weaknesses,WebMCP Leverage rationale,Execution rationale,Potential Impact rationale,Creativity & Ambition rationale,verdict,confidence,disposition,scorecard,evidence_quotes,prior_source_review,original_top10_rank,date_policy,repository_links,video_links,reconciled_score_out_of_100_NOT_OFFICIAL,reconciled_L_E_I_C,comparative_reassessment
accessible-action-mode-returns-exchanges,Accessible Action Mode — Returns & Exchanges,https://devpost.com/software/accessible-action-mode-returns-exchanges,individual AI review of complete saved public description; no new runtime verification,952,8,8,7.5,7,76.25,Staging is consequence-free and the page clearly distinguishes not-submitted from applied state. | Read-only Shopify evidence is separated from simulated return execution.,"All staging and apply effects remain local D1 simulation, not actual refunds or exchanges. | Production shop authorization, generalized merchant policy mapping and reconciliation are still required.",Five tools share one server-backed resolution plan while approval stays outside the tool surface and apply revalidates exact versions.,"Tenant isolation, atomic stale-state rejection, expiry and duplicate execution have specific reported coverage; live merchant writes are clearly excluded.","Combining refunds, conditional exchange, retained items and drop-off costs reflects a real shopper task often fragmented across screens.",The contribution is careful domain execution and accessible review rather than a radically new commerce concept.,A strong bounded commerce implementation with honest provider limits. Live merchant-policy handling and safe reconciliation would distinguish it further.,high,credible,review/broad/scorecards/accessible-action-mode-returns-exchanges.md,The agent and shopper share one server-backed plan | Staging and apply remain an isolated local D1 simulation.,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/tinatsntx/accessible-action-mode-returns-public,https://www.youtube.com/embed/SdPH6nQEkvc?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
campusverify-o8tpq6,CampusVerify,https://devpost.com/software/campusverify-o8tpq6,individual AI review of complete saved public description; no new runtime verification,952,8,8,7.5,7,76.25,Single-use publication approval becomes invalid when the draft changes. | Aggregate results avoid exposing individual contacts.,Real researcher workflow validation is still planned. | Evidence gap: small-subgroup disclosure safeguards are not specified.,"Research tools span drafting, targeting, publication and analysis with exact-draft approval.","Existing authenticated infrastructure, ownership policies and described browser checks support an end-to-end extension.",Researchers can reduce coordination work while protecting participant identities.,"The integrated research lifecycle is ambitious, though its underlying survey workflow is established.",A strong application-level integration with meaningful privacy and approval boundaries. Researcher validation and subgroup privacy details would sharpen its case.,high,contender,review/broad/scorecards/campusverify-o8tpq6.md,The tools operate using the authenticated researcher rather than accepting an arbitrary user ID from the agent. | Publication approvals are single-use and tied to the exact draft that the researcher approved,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/Nana-996/campus-connect-surveys,https://www.youtube.com/embed/zmDoq9kM2JE?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
cleansheet,Cleansheet,https://devpost.com/software/cleansheet,individual AI review of complete saved public description; no new runtime verification,952,8,8,7.5,7,76.25,Deduplication is withheld when reliable keys cannot be found. | Preview and apply now share the same deletion decision logic.,"Uploads are processed server-side, unlike a wholly local cleaning tool. | Applies are not yet reversible and processing is limited to 8 MB and 20,000 rows.",State-aware tools stage and explain transformations while a single review path controls row mutation.,Specific deduplication and preview/apply discrepancies were caught by a shared-core proof script.,"Conservative CSV repair addresses common operational work, subject to upload and file-size constraints.",Measured tool-versus-interface activity and refusal to guess duplicate keys add rigor to a familiar use case.,"A credible conservative cleaner with unusually specific data-loss debugging evidence, though undo and larger-file handling remain missing.",high,contender,review/broad/scorecards/cleansheet.md,"Blank fields stay blank. | The current limits are 8 MB and the first 20,000 rows.",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/Iziedking/cleansheet,https://player.vimeo.com/video/1223920832?byline=0&portrait=0&title=0#t=
competitor-tracker-co-webmcp,Competitor Tracker & Co. WebMCP,https://devpost.com/software/competitor-tracker-co-webmcp,individual AI review of complete saved public description; no new runtime verification,952,8,8,7.5,7,76.25,"Caller-supplied URLs are not fetched, reducing an important arbitrary-fetch risk. | Telemetry counts operations without retaining their contents.","The CI browser harness uses stub globals, and multilingual tool schemas and broader native coverage remain future work.",Eleven tools expose published company knowledge and a bounded signup path on an existing multilingual site.,"Lazy loading, server validation, expiry behavior and live-service harness tests give concrete integration evidence.","Reusable agent access to an existing research service has a plausible adoption path, though demand improvement is not measured.",Catalog-bounded access and low-content telemetry are careful choices within a conventional business-service interface.,A grounded integration into an existing service with concrete privacy and fetch boundaries. Its tests should not be mistaken for complete native-browser CI coverage.,high,contender,review/broad/scorecards/competitor-tracker-co-webmcp.md,"Telemetry counts calls, never contents | the tool never fetches a URL you supply",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/CofounderGPT/competitor-tracker-webmcp,https://www.youtube.com/embed/QhjxQ8Qn9x0?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
ikuyo,Ikuyo: Plan Your Next Adventure!,https://devpost.com/software/ikuyo,individual AI review of complete saved public description; no new runtime verification,952,8,8,7.5,7,76.25,Destructive actions stay in a deliberate human-confirmed UI workflow.,"Disclosed timezone, multiregion and expense-collaboration gaps affect realistic group trips.",Role-specific tools and shared itinerary state let agents collaborate within existing user permissions.,The description connects batch planning to an established collaborative product and reports actual trip use.,Travel coordination is a clear everyday need with a plausible existing adoption path.,"The integration is well matched to the domain, though collaborative itinerary planning itself is familiar.",A credible integration into an existing useful product. Complex cross-timezone trips and shared-expense workflows would most test its completeness.,high,credible,review/broad/scorecards/ikuyo.md,"Tool availability follows the user's role | Destructive operations remain deliberate, human-confirmed UI actions.",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/kenrick95/ikuyo,https://www.youtube.com/embed/jN_FoFxKSJw?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
kurdish-calendar-agent,Kurdish Calendar Agent,https://devpost.com/software/kurdish-calendar-agent,individual AI review of complete saved public description; no new runtime verification,952,8,8,7.5,7,76.25,"No tool can save, send, publish or book the draft. | A partial registration failure aborts the complete tool set.",Regional calendar accuracy and broader event coverage remain important limits; reusable family groups are future work.,"Five coherent tools combine real events, conversions, time zones and visible date selection into an editable plan.","Shared event data, registration rollback, RTL handling and described browser tests support a complete bounded workflow.",Multi-calendar diaspora family coordination is a specific and credible audience need.,The cultural and calendar combination is distinctive without requiring a novel scheduling engine.,A particularly coherent narrow calendar integration. Broader regional conversion tests and community use would strengthen its impact case.,high,credible,review/broad/scorecards/kurdish-calendar-agent.md,"a partial registration failure aborts the complete set | The plan remains a private, unsaved draft.",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,,https://www.youtube.com/embed/HfFNkzeJ_Zc?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
lafryhi-agentcut,LAFRYHI AgentCut,https://devpost.com/software/lafryhi-agentcut,individual AI review of complete saved public description; no new runtime verification,952,8,8,7.5,7,76.25,"The claimed output is a playable artifact, not only a successful tool response. | Backend analysis and browser preview share the actual project.",Evidence gap: final approval enforcement and stale-edit protection are less specified than rendering; richer history inspection remains future.,"A small tool set connects shared scene state, authoritative analysis, preview and actual export.",The described six-scene MP4 workflow and concrete runtime/memory fixes support end-to-end execution.,Existing video creators benefit from precise repetitive scene and timing changes.,The integration is capable but follows a familiar editor-command pattern.,A convincing bounded video-editing integration. Exact approval and revision contracts would most improve collaborative robustness.,medium,credible,review/broad/scorecards/lafryhi-agentcut.md,There is no separate hidden MCP project state. | produce a playable and downloadable MP4,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/lafryhi/lafryhi-agentcut-webmcp,https://www.youtube.com/embed/QGL906UeoYo?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
marqops-evidence-layer,MarqOps Evidence Layer,https://devpost.com/software/marqops-evidence-layer,individual AI review of complete saved public description; no new runtime verification,952,8,8,7.5,7,76.25,Metric provenance includes prior values and calculations. | Public anonymized exploration is separated from private reporting.,Public evidence is a frozen snapshot; workflow value currently ends at recommendations.,Page-scoped evidence tools preserve tenant context and explicitly limit agent authority.,"Origin, tenant, payload and secret-output checks provide concrete reported security coverage.",Source-linked marketing explanations address a real reporting problem in an existing workspace.,Evidence receipts and causality boundaries distinguish this from a dashboard summary wrapper.,A disciplined evidence-reading integration with a credible production boundary; broader source coverage would strengthen usefulness.,high,contender,review/broad/scorecards/marqops-evidence-layer.md,"stateChanged is always false | public explorer uses a frozen, anonymized snapshot",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/anandiyerdigital/marqops-webmcp-challenge,https://www.youtube.com/embed/0x0P1VLcgbU?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
openbento,OpenBento,https://devpost.com/software/openbento,individual AI review of complete saved public description; no new runtime verification,952,8,8,7.5,7,76.25,Redesigned unbounded card expansion into finite streams while preserving selected discoveries.,"Background agent spend, source-quality evaluation and duplicate/noise handling are underexplained.",Persistent WatchBots and editable cards let agents participate in ongoing information organization.,Shared authorized domain actions and provider workers describe a coherent real application.,"Dedicated streams reduce information overload, though source relevance and monitoring cost are unmeasured.",Separating live monitoring columns from curated dashboard artifacts is a useful product distinction.,A substantial persistent research workspace with sensible shared-state architecture. Long-running feed quality and cost controls would determine sustained value.,medium,contender,review/broad/scorecards/openbento.md,A WatchBot owns a dedicated Column. | same shared domain executor used by the human UI,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/OmarKaranib/OpenBento-Next,https://www.youtube.com/embed/YoITDoQhOq0?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
prepwise-lite,PrepWise Lite,https://devpost.com/software/prepwise-lite,individual AI review of complete saved public description; no new runtime verification,952,8,8,7.5,7,76.25,Revalidates user edits to staged proposals before applying them.,Inventory accuracy depends on manual updates; page CSP does not govern how an external agent handles returned data.,Local reads and editable staged writes create a substantive shared pantry workflow.,Sanitizer reuse and a real missing-recipe-text regression support execution.,"Inventory, expiry and meal coordination solve concrete household friction.",Refining rather than merely approving agent proposals is a thoughtful design choice.,A strong practical local-first workflow with unusually useful proposal refinement and appropriately limited food-domain inference.,high,contender,review/broad/scorecards/prepwise-lite.md,the confirm handler re-runs the same sanitizer | The whole feature is off by default,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/AlanRoman117/prepwise-lite,https://www.youtube.com/embed/Q2wzHRMD1qc?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
relay-o56i9a,Relay,https://devpost.com/software/relay-o56i9a,individual AI review of complete saved public description; no new runtime verification,952,8,8,7.5,7,76.25,Build checks prevent UI and tool mutation inventories from drifting.,"No undo exists yet, and parity does not prove screen-reader accessibility or safe delegation.",Enforced UI/tool parity and reducer-based previews provide complete agent operability.,Specific timestamp and shared-demo fixes substantiate the implementation.,Accessible dispatch work is a clear professional need.,Deliberate authority parity is a useful alternative to universally withholding actions.,A strong complete-control integration with concrete accessibility intent; reversibility and user testing should accompany its broad authority.,high,contender,review/broad/scorecards/relay-o56i9a.md,"Every action in the UI has a matching WebMCP tool with identical authority | Relay currently only has the audit log for accountability, not reversibility",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/AshrafAhmed9/relay; https://github.com/AshrafAhmed9/webmcp-kit,https://www.youtube.com/embed/tXHez2Yuykg?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
skyringai-webmcp,SkyRingAI-WebMCP,https://devpost.com/software/skyringai-webmcp,individual AI review of complete saved public description; no new runtime verification,952,8,8,7.5,7,76.25,Tenant identity cannot be selected through tool arguments; transcripts and phone outputs are bounded.,A separate publish tool is not by itself proof of human review; binding consent to the displayed change deserves closer verification.,Session-bound private tools combine call context with previewed receptionist configuration updates.,"Provider scoping, repeated server checks, session cleanup, and single-use previews are concrete implementation boundaries.",Small-business owners gain a practical route from call analysis to operational changes.,"The integrated preview workflow is thoughtful, though authenticated SaaS administration is established.",A well-specified authenticated operations integration with a clear next verification question around consent.,high,credible,review/broad/scorecards/skyringai-webmcp.md,Tool inputs cannot select a customer or tenant. | Publishing accepts only that short-lived preview ID,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/skyrigcloudgaming/skyringai-webmcp,https://www.youtube.com/embed/nJ3KfvSzJKc?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
toban,Toban,https://devpost.com/software/toban,individual AI review of complete saved public description; no new runtime verification,952,8,8,7.5,7,76.25,Read-only assignment queries do not advance rotation state.,Holiday coverage is locale-limited and complex eligibility explanations remain planned.,Typed partial updates and stable targeting preserve unrelated roster settings.,"Deterministic rotation math, persistence and described live tools support a complete product.",Reduces repetitive roster work with useful Japanese holiday handling.,Combines intent-rich creation with carefully constrained follow-up changes.,Strong practical collaboration product; broader calendars and difficult eligibility cases would test its robustness.,high,contender,review/broad/scorecards/toban.md,rename a member while preserving unrelated settings | the WebMCP tool prepares a reviewable confirmation but does not publish,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/hayashiii-ghub/toban-app,https://www.youtube.com/embed/4CSxh6WW51w?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
webmcp-portfolio-kit,WebMCP Portfolio Kit,https://devpost.com/software/webmcp-portfolio-kit,individual AI review of complete saved public description; no new runtime verification,952,8,8,7.5,7,76.25,Unmatched requirements remain explicit rather than forced into a score. | Core tools cannot send contact messages.,Self-authored project evidence is not independent credential verification. | Deterministic matching may miss equivalent experience phrased differently.,Requirement-to-evidence tools and unsent contact drafts support a substantive buyer workflow.,Unrelated-persona fork tests and production tool evaluations support credible reuse.,Can help technical buyers inspect published work without a misleading match score.,Evidence gaps and reusable content separation improve a familiar portfolio pattern.,"A well-tested reusable portfolio kit with honest evidence gaps, limited by the authenticity and vocabulary of its underlying profile content.",high,credible,review/broad/scorecards/webmcp-portfolio-kit.md,"It's never a forced ""95% match"" score. | the core kit never sends a message",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/resilientbeast/webmcp-portfolio-kit,https://www.youtube.com/embed/dBNf1xjLpEE?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
yesmcp-agent-native-booking-the-human-keeps-the-click,"yesmcp: agent-native booking, the human keeps the click",https://devpost.com/software/yesmcp-agent-native-booking-the-human-keeps-the-click,individual AI review of complete saved public description; no new runtime verification,952,8,8,7.5,7,76.25,"Every slot label carries a UTC offset, reducing ambiguous scheduling context. | Decline is handled as an expected answer rather than a broken tool call.",Sending email inside a transaction does not establish atomicity across the database and mail system; a confirmation click is also not independently human-authenticated.,Tools read live slots and prepare a booking that remains pending for a visible confirmation or a normal declined result.,"Shared server validation, rate limits, explicit offsets, and a reported real agent loop provide concrete integration evidence.",Accurate live availability and reviewable bookings offer practical value for a real consultation service.,"Decline as an ordinary workflow result is well designed, while the prepare-confirm booking pattern is otherwise familiar.","A practical live booking integration with thoughtful failure and time-zone handling, though email delivery and human identity guarantees should remain narrower than the UI approval story.",high,credible,review/broad/scorecards/yesmcp-agent-native-booking-the-human-keeps-the-click.md,"Decline is a first-class answer returned to the agent, not an error. | the confirmation email is sent inside the transaction",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/awrshift; https://github.com/yesmcp/webmcp-booking,https://www.youtube.com/embed/KRmDSJ8IHiE?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
agenticroom,AgenticRoom,https://devpost.com/software/agenticroom,individual AI review of complete saved public description; no new runtime verification,967,8,8,7,7.5,76.25,"Replacement can preserve placement while updating budget. | Checks openings, locks and room resizing, not just object coordinates.",Hand-authored furniture lacks real availability and purchase integration. | Image-inspired direction is less concretely evidenced than geometric rules.,"Search, placement, replacement and budget tools share deterministic room rules with manual editing.","Footprint checks, unchanged-state errors and domain tests support a coherent browser-only product.","Room furnishing combines real spatial and cost decisions, though the catalog is illustrative.",Agent assistance on a constrained editable 3D room is a distinctive collaboration pattern.,A strong bounded spatial-planning tool. Catalog realism and usability on difficult layouts would determine its broader practical value.,high,contender,review/broad/scorecards/agenticroom.md,leaves the room unchanged | The furniture catalog and room rules are hand-authored,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/setyongr/agentic-room,https://www.youtube.com/embed/8pLkVAU-G80?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
artsoul-agent-native-art-auctions,ArtSoul  Agent-Native Art Auctions,https://devpost.com/software/artsoul-agent-native-art-auctions,individual AI review of complete saved public description; no new runtime verification,967,8,8,7,7.5,76.25,Bidding rules are read from contracts rather than duplicated in the tool layer. | Creator bidding is stopped before an inevitably rejected transaction.,Mainnet use awaits an independent contract audit. | Reactive auction updates and direct prepared-amount handoff remain future work.,Live auction state and wallet handoff give agents useful commerce actions without signing authority.,"Corrected provenance parsing, creator-bid checks and auction-ID resolution provide concrete execution evidence.","Collectors gain clearer auction and ownership state, within a niche test-network product.",Contract-owned economics and separated creator/collector provenance make a thoughtful domain integration.,A strong bounded auction integration with specific correctness fixes. Real-money assurance and rapidly changing bid-state handling remain the main uncertainties.,high,contender,review/broad/scorecards/artsoul-agent-native-art-auctions.md,ArtSoul currently runs on Base Sepolia. | The contracts remain the source of truth.,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/maysonkiller/ArtSoul-Protocol,https://www.youtube.com/embed/2-7S-_ka5tQ?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
atinamos-agent-shop,Atinamos Agent Shop,https://devpost.com/software/atinamos-agent-shop,individual AI review of complete saved public description; no new runtime verification,967,8,8,7,7.5,76.25,WebMCP does not automatically retry a paid request.,Evidence centers on one JSON repair service; settlement idempotency and broader provider behavior are less detailed.,"Service discovery, paid-request pause and result recovery form a complete page-native purchase loop.",A described low-value live payment and repaired result viewer support execution.,Buying machine services is a credible developer use case.,Separating service initiation from spending authority is a useful commerce pattern.,A convincing narrow commerce integration. Recovery under uncertain settlement is the highest-value follow-up.,high,contender,review/broad/scorecards/atinamos-agent-shop.md,WebMCP does not hold wallet keys | The embedded browser could also lose state during the wallet hand-off,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/Atinamos/atinamos-webmcp-challenge,https://www.youtube.com/embed/1UhWX1KG5Ew?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
companion-sketch,Companion Sketch,https://devpost.com/software/companion-sketch,individual AI review of complete saved public description; no new runtime verification,967,8,8,7,7.5,76.25,Private words are withheld from participants in the guessing role. | Mobile backgrounding and session recovery received explicit implementation attention.,Long-term abuse controls and measured drawing or guessing quality are not established.,Eight native tools let agents participate in the same role-aware drawing game as people.,"Server-owned turns, private prompts, timers and reconnect recovery provide concrete multiplayer execution evidence.","The approachable game can demonstrate genuine shared interaction, though broader adoption and moderation are unproven.",Treating an agent as a constrained drawing or guessing participant is a lively collaborative use of the protocol.,A credible real-time collaboration game with meaningful server-side information boundaries. Its execution evidence is stronger than claims of broad entertainment impact.,high,contender,review/broad/scorecards/companion-sketch.md,The game engine is server-authoritative. | The server never exposes a private drawing prompt to someone who should be guessing.,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,,https://www.youtube.com/embed/8vpahWVg4-4?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
execution-receipt,Execution Receipt,https://devpost.com/software/execution-receipt,individual AI review of complete saved public description; no new runtime verification,967,8,8,7,7.5,76.25,Builds produce actual bytes and reject stale completion before committing a receipt. | Download requests are not mislabeled as successful saves or submissions.,The tool attachment path is limited to UTF-8 text in fixed slots. | Documents live only in the active session and there is no downstream submission integration.,"Revision-aware attachment, build and receipt tools operate the same guarded package state.","Real ZIP output, independent archive verification and competing-build checks are concrete execution evidence.",Inspectable package creation can prevent downstream reliance on unsupported completion claims.,The narrow proof boundary and preserved stale receipts are carefully designed.,"A strong small implementation with real artifact verification and disciplined claims, limited to local packaging rather than end-to-end external delivery.",high,contender,review/broad/scorecards/execution-receipt.md,A download request is recorded only as a request | Documents exist only in the active browser session.,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/sirolaalen-awm/execution-receipt,https://www.youtube.com/embed/VBexGNRqnkM?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
gatherwire,Gatherwire,https://devpost.com/software/gatherwire,individual AI review of complete saved public description; no new runtime verification,967,8,8,7,7.5,76.25,Evidence IDs must belong to the selected source space. | Retries with conflicting content are rejected rather than duplicating tasks.,Atlas is synthetic and the workflow ends before any external runtime executes. | Organizational permissions and real project-agent bridges remain planned.,"Seven tools transform live source messages into visible, traceable handoff objects.","Native completion, readback and idempotent replay substantiate the bounded handoff implementation.","Provenance-preserving team handoffs are useful, but no external agent actually receives work.",Making a handoff a durable product object is a solid collaboration idea with moderate novelty.,A credible source-linked handoff prototype with good native evidence and clearly limited execution scope.,high,contender,review/broad/scorecards/gatherwire.md,Atlas is synthetic and no external agent is started | The final handoff was read back from the target room with matching task and correlation IDs.,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/entnetzt/buzz-webmcp,https://www.youtube.com/embed/1kNR6baWLMY?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
learning-world-dax-mission,Learning World — DAX Mission,https://devpost.com/software/learning-world-dax-mission,individual AI review of complete saved public description; no new runtime verification,967,8,8,7,7.5,76.25,No registered tool submits an attempt or grants mastery. | Learning continues when agent assistance is unavailable.,Absence of an answer-submission tool does not prove learner independence from other automation; persistent progress and broader learning validation remain future.,Bounded observation and intervention tools separate adaptive assistance from the page's scoring authority.,"Twelve exercises, deterministic evaluation and a fallback learning path form a coherent narrow mission.","DAX filter context is a specific learning difficulty, but transfer claims remain confined to authored exercises.",A fixed evidence standard around adaptive intervention is a meaningful teaching architecture.,A coherent educational boundary demonstration. Unseen transfer tasks and actual learner studies would be needed to support stronger mastery claims.,high,credible,review/broad/scorecards/learning-world-dax-mission.md,assistance never creates learning evidence | Only evaluated learner attempts can establish skills,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/oscargutierrez527/learning-world-webmcp,https://www.youtube.com/embed/QljhoeEKmpM?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
least-privilege-access-review-workbench-remove-risky-access,Least-Privilege Access Review Workbench: Remove Risky Access,https://devpost.com/software/least-privilege-access-review-workbench-remove-risky-access,individual AI review of complete saved public description; no new runtime verification,967,8,8,7,7.5,76.25,The description explicitly acknowledges ordinary browser actuation can reach confirmation. | Unsafe removal is revised to preserve the operational dependency.,"Single-case synthetic data, illustrative scores and reset-on-reload state limit operational applicability.",Path tracing and breakage simulation lead to an exact visible proposal without exposing a confirmation tool.,"Cycle-safe graphs, stale-plan checks and atomic registration support a coherent synthetic review workflow.","Access review is important, but current usefulness is as a reference pattern rather than production IAM.",Preserving a service-owned rollback dependency adds meaningful domain reasoning beyond flat permission removal.,A strong bounded review pattern with unusually clear safety limits. Real read-only IAM imports would be the best next test.,high,contender,review/broad/scorecards/least-privilege-access-review-workbench-remove-risky-access.md,Ordinary browser actuation may still reach that control | five removals and one reassignment,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/webmaxru/webmcp-access-review-workbench,https://www.youtube.com/embed/q2ydz9Y1_L8?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
moirae-console,Moirae Console,https://devpost.com/software/moirae-console,individual AI review of complete saved public description; no new runtime verification,967,8,8,7,7.5,76.25,Privileged destinations and credentials are host-owned. | Unverifiable authority fails closed.,Only a fixed document workflow is shown; signed authority and stronger production identity remain planned.,Independent host authority and fresh approval transitions give narrow WebMCP tools a meaningful trust boundary.,"Canonical binding, replay controls and failure tests provide strong concrete evidence within a fixed demo.","Reusable action governance matters, but deployment identity and durability are unfinished.","Separating capability, approval and host effect is thoughtfully realized rather than conceptually new.",A rigorous narrow governance reference; durable real-resource integrations would establish broader readiness.,high,contender,review/broad/scorecards/moirae-console.md,"short-lived, opaque handle | A production version would need stronger deployment identity",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/hourwise/Moirae-Console,https://www.youtube.com/embed/N1TLGIohgCY?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
nova-lab-ouzdmb,NOVA LAB,https://devpost.com/software/nova-lab-ouzdmb,individual AI review of complete saved public description; no new runtime verification,967,8,8,7,7.5,76.25,Separates simulated measurements from real science and keeps server-owned authorization.,"New-seed replication tests the same synthetic model, not independent biological validity.","Agents design, request approval, run and replicate experiments through a coherent stateful tool lifecycle.","Persisted observations, seeds and statistical analyses support a substantial simulation prototype.","Evidence-based experimentation is useful pedagogically, but synthetic plant outcomes do not establish scientific discovery.",Replication as a first-class operation adds depth beyond an experiment-generation chatbot.,"A credible stateful experiment simulator with useful provenance. Its claims should remain about controlled experimentation workflows, not real plant-growth findings.",medium,contender,review/broad/scorecards/nova-lab-ouzdmb.md,deterministic simulation with stochastic noise | independently replicated using a new seed,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/BhagatveerSinghHunjan/nova,https://www.youtube.com/embed/ISGxtSGeP_o?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
onepath,ONEPATH,https://devpost.com/software/onepath,individual AI review of complete saved public description; no new runtime verification,967,8,8,7,7.5,76.25,Adaptation requires a matching current-step signal and human acceptance remains outside the tool list.,"Progress percentages describe task completion, not whether the chosen steps adequately address the goal.",A live friction signal tied to the current step enables precise adaptation through five bounded tools.,Reported native proposal and completion flows plus reversible state support a complete local scenario.,"Reducing overwhelm is useful, but one job-loss scenario does not establish psychological or completion benefits.",Human signaled friction that changes the size of the next step is a thoughtful collaborative pattern.,A focused adaptive planning prototype with clear human authority. Real users facing varied goals would test whether smaller steps actually improve follow-through.,medium,credible,review/broad/scorecards/onepath.md,There is deliberately no accept_proposal tool. | Demo state is stored locally in the browser.,description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,https://github.com/Fin1990/onepath-webmcp,https://www.youtube.com/embed/5zDKCJyMT1I?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
suggestibility-webmcp,Suggestibility-WebMCP,https://devpost.com/software/suggestibility-webmcp,individual AI review of complete saved public description; no new runtime verification,967,8,8,7,7.5,76.25,"Server entitlement determines panel size, not tool arguments. | Samples retain genuine reported review packages and minority positions.",Turnstile is currently disabled and independently scoped API keys remain future work. | Multiple model families and preserved dissent do not establish the correctness of advice.,"Board recommendation, asynchronous review retrieval and first-class dissent make a useful page-side client.","Token resolution, demo caps and failed guard repairs provide concrete implementation evidence.","An existing review service offers a practical integration target, though customer claims and review quality remain separate.",Separating advisory board sizing from purchased entitlement is a distinctive commerce boundary.,A substantive production-extension account with unusually candid operational limits; the review utility and access-control tradeoffs still constrain its case.,high,credible,review/broad/scorecards/suggestibility-webmcp.md,"panel size is resolved server-side from the plan attached to the customer's credit | Turnstile runs on the review endpoint when configured, and it is currently unset in production",description only,,no timing penalty; user reports 12-hour extension; actual submission time unverified,,https://www.youtube.com/embed/CbXEMZDfh8s?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent
